"filename", "language", "C++", "Markdown", "JSON", "Python", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbsnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.cc", "C++", 3, 0, 0, 0, 0, 1, 4
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.cc", "C++", 293, 0, 0, 0, 12, 52, 357
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.hh", "C++", -52, 0, 0, 0, -2, -1, -55
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\file.cc", "C++", 13, 0, 0, 0, 0, 5, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\file.hh", "C++", 1, 0, 0, 0, 0, 1, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cob.cc", "C++", 12, 0, 0, 0, 0, 2, 14
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cob.hh", "C++", 2, 0, 0, 0, 0, 1, 3
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobdirection.hh", "C++", 7, 0, 0, 0, 0, 4, 11
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobregister.hh", "C++", 6, 0, 0, 0, 0, 2, 8
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobunit.cc", "C++", 17, 0, 0, 0, 0, 2, 19
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobunit.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\interposer.cc", "C++", 15, 0, 0, 0, 0, 3, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\interposer.hh", "C++", 3, 0, 0, 0, 4, 0, 7
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tob.cc", "C++", 63, 0, 0, 0, 0, 12, 75
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tob.hh", "C++", 11, 0, 0, 0, 0, -1, 10
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobconnector.cc", "C++", 7, 0, 0, 0, 0, 2, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobconnector.hh", "C++", 1, 0, 0, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobmux.cc", "C++", 7, 0, 0, 0, 0, 2, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobmux.hh", "C++", 2, 0, 0, 0, 0, 0, 2
